eng,tamil,pronunciation,synonym
shoulder,தோள்பட்டை,Tōḷpaṭṭai,"shoulder, berm, articulatio_humeri, shoulder_joint"
shout,கத்தி,Katti,"squall, holler, blackguard, vociferation, yell, cry, call_out, shout, shout_out, outcry, cry_out, clapperclaw, abuse, hollo, call, scream, exclaim"
show,நிகழ்ச்சி,Nikaḻcci,"express, show, designate, depict, register, indicate, appearance, shew, testify, display, evince, demo, show_up, usher, record, demonstrate, prove, establish, present, render, picture, exhibit, point, bear_witness, read, evidence"
shower,மழை,Maḻai,"shower_bath, shower_down, exhibitioner, rain_shower, shower, cascade, exhibitor, lavish"
shrug,shrug.,Shrug.,shrug
shut,மூடப்பட்டது,Mūṭappaṭṭatu,"exclude, unopen, close, closed, shut_out, keep_out, shut"
sick,நோய்வாய்ப்பட்ட,Nōyvāyppaṭṭa,"retch, barf, disturbed, mad, nauseous, puke, grim, brainsick, queasy, disgusted, demented, ghastly, disgorge, grisly, tired_of, chuck, crazy, unhinged, sick_of, be_sick, cat, purge, spew, pallid, regorge, cast, spue, sick, macabre, unbalanced, throw_up, wan, nauseated, pale, regurgitate, fed_up, honk, gruesome, sickish, vomit_up, vomit, upchuck, ill"
side,பக்க,Pakka,"incline, face, side, position, side_of_meat, slope, English"
sigh,sigh.,Sigh.,"suspiration, sigh, suspire"
sight,பார்வை,Pārvai,"quite_a_little, wad, spate, pot, mess, muckle, mint, plenty, great_deal, heap, slew, mountain, visual_modality, tidy_sum, vision, peck, visual_sense, mass, sight, passel, hatful, ken, batch, good_deal, stack, survey, deal, lot, mickle, spy, raft, pile, view, flock"
sign,அடையாளம்,Aṭaiyāḷam,"ratify, subscribe, signaling, contract, star_sign, bless, signalise, house, polarity, sign-language, signboard, preindication, gestural, planetary_house, sign_on, signal, sign, sign_of_the_zodiac, signalize, augury, signed, mark, foretoken, sign_up, mansion"
signal,சிக்னல்,Cikṉal,"bespeak, signal, signaling, point, sign, signalise, signalize, indicate, betoken"
significance,முக்கியத்துவம்,Mukkiyattuvam,"import, significance, signification, implication, meaning"
significant,குறிப்பிடத்தக்க,Kuṟippiṭattakka,"significant, pregnant, substantial, important, meaning"
significantly,கணிசமாக,Kaṇicamāka,"importantly, significantly"
silence,அமைதி,Amaiti,"quiet, hush, secrecy, still, shut_up, silence, hush_up, muteness, secretiveness, quieten"
silent,அமைதியாக,Amaitiyāka,"understood, mute, dumb, silent, soundless, mum, unsounded, tacit, still"
silver,வெள்ளி,Veḷḷi,"Ag, silverish, smooth-spoken, argent, flatware, silver, eloquent, fluent, silvern, silvery, silver_medal, ash_grey, silver-tongued, silver_grey, facile, silver_gray, ash_gray, atomic_number_47"
similar,இதே போன்ற,Itē pōṉṟa,"alike, standardised, interchangeable, like, similar, exchangeable, standardized"
similarly,இதேபோல்,Itēpōl,"likewise, similarly"
simple,எளிய,Eḷiya,"unproblematic, mere, simple, childlike, simple-minded, uncomplicated, simpleton, bare, wide-eyed, dewy-eyed, round-eyed, dim-witted, elementary, unsubdivided"
simply,வெறுமனே,Veṟumaṉē,"simply, just, only, merely, plainly, but"
sin,பாவம்,Pāvam,"sinfulness, wickedness, sine, sinning, Sin, trespass, drop_the_ball, transgress, blunder, sin, boob, hell, goof"
since,இருந்து,Iruntu,set()
sing,பாட,Pāṭa,"spill_the_beans, sing, blab_out, let_the_cat_out_of_the_bag, tattle, babble_out, peach, babble, blab, whistle, talk"
singer,பாடகர்,Pāṭakar,"Singer, vocaliser, vocalizer, Isaac_M._Singer, Isaac_Merrit_Singer, Isaac_Bashevis_Singer, vocalist, singer"
single,ஒற்றை,Oṟṟai,"exclusive, single, I, unmarried, one, ace, 1, bingle, unity, individual, undivided"
sink,மூழ்கி,Mūḻki,"go_under, pass, sink, bury, slump, cesspit, go_down, dip, swallow_hole, lapse, fall_off, sump, slide_down, sinkhole, cesspool, settle, drop_down, drop, subside"
sir,சார்.,Cār.,"sir, Sir"
sister,சகோதரி,Cakōtari,"babe, sis, Sister, baby, sister"
sit,உட்கார,Uṭkāra,"ride, pose, seat, sit, sit_around, model, posture, sit_down, baby-sit"
site,தள,Taḷa,"place, situation, locate, land_site, site, web_site, website, internet_site"
situation,நிலைமை,Nilaimai,"berth, spot, office, situation, place, state_of_affairs, post, site, billet, position"
six,ஆறு,Āṟu,"Captain_Hicks, sextet, half-dozen, sise, 6, VI, half_a_dozen, six, vi, sextuplet, hexad, sixer, sestet, half_dozen, six-spot"
size,அளவு,Aḷavu,"size_of_it, sizing, size"
ski,பனிச்சறுக்கு,Paṉiccaṟukku,ski
skill,திறமை,Tiṟamai,"skill, acquisition, science, attainment, accomplishment, acquirement"
skin,தோல்,Tōl,"peel, scrape, pare, struggle, sputter, hide, tegument, scramble, shinny, pelt, cutis, shin, bark, skin, clamber"
sky,வானம்,Vāṉam,"pitch, sky, flip, toss"
slave,அடிமை,Aṭimai,"hard_worker, striver, knuckle_down, slave, ""break_ones_back"", buckle_down"
sleep,தூங்கு,Tūṅku,"slumber, nap, ""catch_some_Zs"", rest, eternal_sleep, sleep, quietus, kip, eternal_rest, sopor, ""log_Zs"""
slice,ஸ்லைஸ்,Slais,"slash, gash, slice_up, cut, slicing, fade, slit, slice, piece"
slide,ஸ்லைடு,Slaiṭu,"slew, lantern_slide, slip, playground_slide, swoop, slither, sloping_trough, glide, slide, slideway, skid, slue, sliding_board, microscope_slide, coast, chute"
slight,சிறிது,Ciṟitu,"slight, flimsy, fragile, thin, slim, rebuff, cold-shoulder, slender, little, svelte, tenuous"
slightly,சற்று,Caṟṟu,"more_or_less, slenderly, slimly, somewhat, slightly"
slip,நழுவுதல்,Naḻuvutal,"solecism, slipperiness, steal, dislocate, slide, shimmy, pillowcase, slick, case, slip_of_paper, slip-up, slew, parapraxis, cutting, strip, slickness, fall_away, teddy, moorage, berth, drop_off, chemise, mooring, slip, miscue, gaucherie, faux_pas, pillow_slip, splay, luxate, elusion, sideslip, ""slip_ones_mind"", skid, gaffe, shift, err, sneak, eluding, mistake, slue, trip, drop_away"
slow,மெதுவாக,Metuvāka,"dumb, tedious, dull, decelerate, obtuse, wearisome, slow, tardily, deadening, tiresome, boring, slow_down, slacken, dense, retard, slow_up, behind, slack, slowly, irksome, ho-hum, easy, dim, sluggish"
slowly,மெதுவாக,Metuvāka,"lento, slowly, slow, tardily, easy"
small,சிறிய,Ciṟiya,"low, lowly, minuscule, minor, diminished, pocket-sized, pocket-size, modest, little, small, belittled, humble, small-scale"
smart,புத்திசாலி,Putticāli,"ache, smart, impertinent, sassy, voguish, impudent, overbold, bright, wise, smartness, chic, smarting, hurt, saucy, fresh"
smell,வாசனை,Vācaṉai,"smell_out, scent, flavour, feeling, olfactory_perception, olfactory_sensation, look, sense, reek, smack, sense_of_smell, feel, aroma, flavor, olfactory_modality, smelling, olfaction, odor, olfactory_property, spirit, tone, odour, smell"
smile,புன்னகை,Puṉṉakai,"grin, smiling, grinning, smile"
smoke,புகை,Pukai,"locoweed, sess, pot, fastball, roll_of_tobacco, weed, skunk, sens, fume, smoke, bullet, gage, grass, heater, hummer, dope, Mary_Jane, smoking, green_goddess"
smooth,மென்மையான,Meṉmaiyāṉa,"legato, quiet, unruffled, fluid, suave, liquid, shine, polish, bland, tranquil, still, smooth_out, politic, smoothen, fluent, placid, smooth"
snap,ஸ்னாப்,Sṉāp,"break_down, snap, piece_of_cake, rupture, snatch_up, duck_soup, picnic, bust, elasticity, ginger_nut, shot, snap_bean, snatch, photograph, lose_it, ""childs_play"", grab, shoot, snarl, flick, pushover, click, snap_fastener, gingersnap, tear, breeze, catch, centering, crack, cracking, ginger_snap, cinch, walkover, press_stud, snapshot"
snow,பனி,Paṉi,"snowfall, Snow, snow, nose_candy, coke, C, lead_by_the_nose, hoodwink, Charles_Percy_Snow, play_false, C._P._Snow, Baron_Snow_of_Leicester, ""pull_the_wool_over_someones_eyes"", blow, bamboozle"
so,அதனால்,Ataṉāl,"and_so, thusly, and_then, so, indeed, hence, then, thus, therefore, thence, sol, soh"
so-called,என்று அழைக்கப்படும்,Eṉṟu aḻaikkappaṭum,"supposed, alleged, so-called"
soccer,கால்பந்து,Kālpantu,"soccer, association_football"
social,சமூக,Camūka,"societal, social, sociable, mixer"
society,சமூகம்,Camūkam,"companionship, society, bon_ton, lodge, high_society, gild, smart_set, club, fellowship, company, order, social_club, guild, beau_monde"
soft,மென்மையான,Meṉmaiyāṉa,"balmy, delicate, subdued, piano, flabby, easygoing, voiced, sonant, mild, cushy, diffused, flaccid, diffuse, easy, indulgent, soft, lenient, gentle"
software,மென்பொருள்,Meṉporuḷ,"computer_software, software, software_system, software_program, software_package, package"
soil,மண்,Maṇ,"grunge, dirt, territory, colly, filth, grease, begrime, grime, dirty, stain, bemire, land, ground, soil"
solar,சூரிய,Cūriya,solar
soldier,சிப்பாய்,Cippāy,soldier
solid,திட,Tiṭa,"self-colored, strong, solid_state, solid, whole, solidness, square, hearty, firm, substantial, self-coloured, unanimous, upstanding, satisfying"
solution,தீர்வு,Tīrvu,"resolution, result, solution, root, solvent, answer"
solve,தீர்க்க,Tīrkka,"clear, solve, lick, work_out, resolve, figure_out, work, puzzle_out"
some,சில,Cila,"close_to, more_or_less, or_so, just_about, approximately, around, about, some, roughly"
somebody,யாரோ,Yārō,"somebody, someone, soul, mortal, individual, person"
somehow,எப்படியோ,Eppaṭiyō,"someways, someway, somehow, in_some_way, in_some_manner"
someone,யாரோ,Yārō,"somebody, someone, soul, mortal, individual, person"
something,ஏதாவது,Ētāvatu,set()
sometimes,சில நேரங்களில்,Cila nēraṅkaḷil,sometimes
somewhat,ஓரளவு,Ōraḷavu,"more_or_less, middling, passably, pretty, fairly, reasonably, somewhat, jolly, moderately, slightly"
somewhere,எங்காவது,Eṅkāvatu,"someplace, somewhere"
son,மகன்,Makaṉ,"son, Son, Logos, Word, boy"
song,பாடல்,Pāṭal,"Sung_dynasty, strain, birdcall, Sung, birdsong, Song, Song_dynasty, vocal, song, call"
soon,விரைவில்,Viraivil,"soon, presently, before_long, shortly"
sophisticated,அதிநவீன,Atinavīṉa,"twist_around, convolute, doctor, doctor_up, pervert, advanced, sophisticate, sophisticated, twist"
sorry,மன்னிக்கவும்,Maṉṉikkavum,"gloomy, grim, distressing, blue, good-for-nothing, sad, dismal, good-for-naught, bad, dingy, drab, pitiful, disconsolate, no-account, dreary, meritless, no-count, no-good, sorry, deplorable, regretful, drear, dark, lamentable"
sort,வகைபடுத்து,Vakaipaṭuttu,"sieve, form, sorting, sort, classify, variety, screen, kind, class, sort_out, screen_out, separate, assort"
soul,ஆத்மா,Ātmā,"somebody, psyche, someone, soul, mortal, individual, person, soulfulness"
sound,ஒலி,Oli,"audio, fathom, speech_sound, go, well-grounded, levelheaded, sound, good, healthy, vocalize, profound, auditory_sensation, vocalise, heavy, phone, reasoned, intelligent, level-headed, legal, strait, wakeless, effectual, voice"
soup,சூப்,Cūp,soup
source,மூல,Mūla,"reservoir, generator, author, germ, beginning, origin, root, rootage, reference, informant, seed, source"
south,தெற்கு,Teṟku,"Confederacy, Confederate_States, Confederate_States_of_America, in_the_south, Dixieland, southward, Dixie, S, south, due_south, to_the_south, South"
southern,தெற்கு,Teṟku,"southern, southerly"
soviet,சோவியத்,Cōviyat,"soviet, Soviet"
space,விண்வெளி,Viṇveḷi,"place, infinite, blank_space, blank, distance, space, outer_space, quad"
spanish,ஸ்பானிஷ்,Spāṉiṣ,"Spanish, Spanish_people"
speak,பேசு,Pēcu,"verbalise, address, speak, utter, mouth, verbalize, talk"
speaker,காண்க,Kāṇka,"verbalizer, talker, speaker_system, Speaker, speaker, loudspeaker, speaker_unit, loudspeaker_system, verbaliser, utterer"
special,சிறப்பு,Ciṟappu,"peculiar, extra, special, exceptional, limited, particular, especial"
specialist,நிபுணர்,Nipuṇar,"medical_specialist, specialiser, specialist, specializer"
species,இனங்கள்,Iṉaṅkaḷ,"coinage, specie, mintage, species, metal_money"
specific,குறிப்பிட்ட,Kuṟippiṭṭa,"specific, particular"
specifically,குறிப்பாக,Kuṟippāka,specifically
speech,பேச்சு,Pēccu,"spoken_communication, address, manner_of_speaking, language, lecture, speech, oral_communication, delivery, speech_communication, spoken_language, talking_to, words, ""actors_line"", voice_communication"
speed,வேகம்,Vēkam,"upper, pelt_along, stop_number, cannonball_along, step_on_it, hurrying, hasten, quicken, accelerate, hotfoot, hurry, hie, focal_ratio, speed, amphetamine, velocity, speeding, belt_along, fastness, speed_up, swiftness, race, travel_rapidly, f_number, bucket_along, rush_along, zip, pep_pill, rush"
spend,செலவு,Celavu,"pass, spend, expend, drop"
spending,செலவு,Celavu,"outgo, disbursal, outlay, disbursement, pass, expend, spending, spend, drop, expenditure"
spin,ஸ்பின்,Spiṉ,"reel, spin, birl, tailspin, spin_around, twirl, twisting, spin_out, gyrate, whirl, twist"
spirit,ஆவி,Āvi,"purport, look, spirit_up, liveliness, feel, spirit, flavour, heart, tone, inspirit, flavor, intent, feeling, life, disembodied_spirit, smell, sprightliness, emotional_state"
spiritual,ஆன்மீக,Āṉmīka,"spectral, religious, ghostly, unearthly, Negro_spiritual, spiritual, ghostlike, phantasmal, apparitional"
split,பிளவு,Piḷavu,"Split, break, fragmented, divide, rip, split_up, carve_up, disconnected, snag, rive, stock_split, burst, cleave, dissever, break_open, disunited, separate, tear, schism, split, break_up, rent, part"
spokesman,செய்தித் தொடர்பாளர்,Ceytit toṭarpāḷar,spokesman
sport,விளையாட்டு,Viḷaiyāṭṭu,"sport, athletics, sportsman, gambol, run_around, cavort, summercater, play, romp, mutation, lark, disport, mutant, variation, frisk, fun, skylark, lark_about, boast, frolic, rollick, sportswoman, feature"
spot,புள்ளி,Puḷḷi,"office, situation, espy, discern, pip, post, billet, blot, recognize, place, smear, fleck, touch, dapple, bit, make_out, berth, pick_out, tell_apart, topographic_point, spot, smirch, blob, blemish, stain, smudge, position, descry, speckle, patch, distinguish, slur, point, spy, spotlight, maculation, daub, recognise"
spread,பரவுதல்,Paravutal,"feast, cattle_farm, spread_head, bedcover, bedspread, cattle_ranch, scatter, unfold, go_around, broadcast, distribute, bed_cover, disseminate, counterpane, gap, spreadhead, circularize, banquet, spreading, ranch, facing_pages, paste, circularise, disperse, spread, diffuse, propagate, dispersed, bed_covering, outspread, open, fan_out, pass_around, circulate, spread_out, overspread"
spring,வசந்த,Vacanta,"take_a_hop, spring, springiness, take_form, resile, bound, leaping, saltation, reverberate, outpouring, fountain, form, springtime, jump, bounce, leap, recoil, ricochet, take_shape, rebound, outflow, give, natural_spring"
square,சதுக்கம்,Catukkam,"foursquare, square_toes, solid, straightforward, square_up, square, hearty, lame, feather, straight, substantial, second_power, squarely, public_square, satisfying"
squeeze,கசக்கி,Kacakki,"crush, extort, squeezing, nip, bosom, contract, press, squeeze, force, pinch, stuff, tweet, rack, thrust, power_play, mash, shove, compress, clinch, twinge, credit_crunch, squeeze_play, hug, wedge, pressure, gouge, wring, embrace, hale, liquidity_crisis, twitch, squelch, compact, constrict, squash, coerce"
stability,ஸ்திரத்தன்மை,Stirattaṉmai,"stability, stableness, constancy"
stable,நிலையானது,Nilaiyāṉatu,"horse_barn, stalls, stable, static, unchanging"
staff,ஊழியர்கள்,Ūḻiyarkaḷ,"staff, faculty, stave"
stage,மேடை,Mēṭai,"stagecoach, point, represent, phase, degree, leg, microscope_stage, present, level, stage, arrange"
stair,ஸ்டேர்,Sṭēr,"stair, step"
stake,பங்கு,Paṅku,"bet_on, stake, back, jeopardize, punt, post, gage, bet, wager, hazard, interest, venture, impale, game, stakes, adventure"
stand,நிற்க,Niṟka,"bandstand, stand, remain_firm, brook, endure, place_upright, standpoint, rack, stomach, put_up, stall, fend, pedestal, outdoor_stage, point_of_view, resist, abide, tie-up, sales_booth, suffer, base, tolerate, digest, viewpoint, bear, standstill, support, stick_out, stand_up"
standard,தரநிலை,Taranilai,"received, touchstone, monetary_standard, standard, banner, stock, criterion, measure"
standing,நின்று,Niṉṟu,"place_upright, tolerate, digest, bear, stand, remain_firm, stomach, brook, resist, support, abide, put_up, suffer, standing, stick_out, stand_up, fend, endure"
star,நட்சத்திரம்,Naṭcattiram,"wiz, starring, stellar, prima, lead, adept, hotshot, whizz, ace, superstar, principal, star_topology, whiz, genius, wizard, asterisk, maven, sensation, headliner, mavin, champion, leading, star, virtuoso"
stare,தடு,Taṭu,"gaze, stare"
start,தொடக்க,Toṭakka,"commencement, scratch, first, bulge, begin, go, lead_off, set_out, take_up, start, starting, starting_signal, bug_out, pop, pop_out, start_out, depart, scratch_line, get_going, take_off, starting_time, bulge_out, set_about, showtime, come_out, kickoff, jump, embark_on, beginning, get-go, offset, commence, startle, initiate, start_up, get, starting_line, get_down, head_start, protrude, outset, set_off, originate, set_forth, part"
state,நிலை,Nilai,"express, submit, United_States_Department_of_State, res_publica, body_politic, say, state, state_of_matter, country, province, posit, DoS, nation, Department_of_State, commonwealth, State, put_forward, State_Department, land, tell"
statement,அறிக்கை,Aṟikkai,"financial_statement, program_line, statement, assertion, argument, instruction, command, affirmation"
station,நிலையம்,Nilaiyam,"send, post, place, station"
statistics,புள்ளிவிபரம்,Puḷḷiviparam,"statistics, statistic"
status,நிலை,Nilai,"condition, position, status"
stay,தங்கியிருங்கள்,Taṅkiyiruṅkaḷ,"stick, stay_put, bide, appease, ride_out, check, outride, rest, quell, halt, detain, last_out, stick_around, continue, abide, stay, stay_on, hitch, stoppage, arrest, stop, persist, delay, remain"
steady,நிலையான,Nilaiyāṉa,"steady, regular, unfaltering, unwavering, steadily, becalm, unfluctuating, sweetheart, calm, stiff, brace, firm, stabilize, sweetie, unshakable, steadfast, truelove, stabilise, unbendable"
steal,திருடு,Tiruṭu,"steal, buy, bargain, slip"
steel,எஃகு,Eḥku,"sword, brand, steel, nerve, blade"
step,படி,Paṭi,"dance_step, step, footprint, ""stones_throw"", ill-use, whole_tone, mistreat, footmark, footstep, ill-treat, measure, stair, gradation, abuse, footfall, maltreat, tread, tone, pace, stride, whole_step"
stick,குச்சி,Kucci,"nonplus, stick, stay_put, pose, reefer, deposit, gravel, amaze, bewilder, cohere, stand_by, cling, spliff, marijuana_cigarette, control_stick, baffle, cleave, stick_around, bind, dumbfound, pin, joystick, lodge, wedge, mystify, stay, beat, bond, sting, stick_to, stick_by, vex, perplex, adhere, puzzle, get, peg, hold_fast, stupefy, flummox, joint"
still,இன்னும்,Iṉṉum,"all_the_same, motionless, relieve, stock-still, distillery, notwithstanding, even, even_so, silence, yet, allay, tranquilize, quieten, smooth, noneffervescent, lull, hush, calm_down, still, nonetheless, ease, however, nevertheless, placid, calm, quiet, hush_up, inactive, withal, tranquillise, silent, unruffled, soundless, tranquillize, tranquil, shut_up, static, stillness"
stir,அசை,Acai,"call_forth, ado, agitate, flurry, shake_up, shake, bring_up, invoke, hustle, touch, excite, conjure, evoke, stir, shift, conjure_up, splash, stimulate, arouse, put_forward, raise, fuss, bustle, budge, call_down"
stock,பங்கு,Paṅku,"pedigree, stockpile, line_of_descent, farm_animal, broth, neckcloth, shopworn, threadbare, blood_line, caudex, store, breed, descent, strain, gillyflower, timeworn, tired, line, old-hat, parentage, buy_in, sprout, Malcolm_stock, hackneyed, stock_certificate, bloodline, lineage, livestock, well-worn, commonplace, ancestry, carry, inventory, banal, fund, gunstock, blood, origin, stock_up, stemma, stock, trite, standard"
stomach,வயிறு,Vayiṟu,"breadbasket, tolerate, digest, bear, tum, stand, stomach, brook, venter, support, belly, abide, put_up, suffer, stick_out, abdomen, tummy, endure"
stone,கல்,Kal,"Stone, pit, endocarp, gem, Harlan_Fisk_Stone, Harlan_Fiske_Stone, Oliver_Stone, Harlan_F._Stone, gemstone, Harlan_Stone, stone, Isidor_Feinstein_Stone, Edward_Durell_Stone, Lucy_Stone, lapidate, rock, I._F._Stone"
stop,நிறுத்த,Niṟutta,"terminate, stopover, diaphragm, turn_back, stop_consonant, plosive, break, end, block, block_off, quit, finish, occlusive, kibosh, occlusion, contain, plosive_consonant, blockade, halt, bar, plosive_speech_sound, cease, stop_over, intercept, barricade, block_up, stay, blockage, closure, lay_off, period, catch, stoppage, hitch, point, arrest, full_stop, hold_back, hold_on, layover, stop, full_point, break_off, give_up, check, discontinue"
storage,சேமிப்பு,Cēmippu,"store, memory, storage, computer_storage, warehousing, depot, entrepot, memory_board, storehouse, computer_memory, reposition, repositing"
store,கடை,Kaṭai,"store, stash_away, put_in, memory, fund, stack_away, lay_in, computer_storage, entrepot, hive_away, shop, depot, memory_board, storage, stock, storehouse, computer_memory, salt_away"
storm,புயல்,Puyal,"rage, force, surprise, storm, ramp, violent_storm, tempest"
story,கதை,Katai,"account, story, tale, report, write_up, history, floor, storey, chronicle, fib, narration, tarradiddle, level, taradiddle, narrative, news_report"
straight,நேராக,Nērāka,"direct, true, unbent, unbowed, straightforward, flat, directly, straightaway, square, full-strength, straight, straight_person, uncoiled, heterosexual_person, neat, consecutive, heterosexual"
strange,விசித்திரமாக,Vicittiramāka,"unknown, foreign, strange, unusual"
stranger,அந்நியன்,Anniyaṉ,"stranger, foreign, unknown, unusual, alien, strange"
strategic,மூலோபாய,Mūlōpāya,"strategic, strategical"
strategy,மூலோபாயம்,Mūlōpāyam,"scheme, strategy"
stream,ஸ்ட்ரீம்,Sṭrīm,"current, swarm, rain_cats_and_dogs, rain_buckets, well_out, watercourse, teem, pullulate, flow, pelt, pour, stream"
street,தெரு,Teru,street
strength,வலிமை,Valimai,"military_posture, intensity_level, force, potency, persuasiveness, speciality, enduringness, strength, intensity, forcefulness, long_suit, forte, effectiveness, military_capability, lastingness, metier, specialty, strong_suit, military_strength, durability, posture, strong_point"
strengthen,பலப்படுத்த,Palappaṭutta,"strengthen, fortify, tone_up, tone, beef_up"
stress,மன அழுத்தம்,Maṉa aḻuttam,"strain, try, accent, emphasis, stress, punctuate, focus, emphasise, accentuate, tension, tenseness, emphasize"
stretch,நீட்சி,Nīṭci,"load, elongate, stretch_along, stretch_out, extend, dilute, stretching, stretch, reaching, stint, stretchiness, stretchability, unfold, debase, reach, adulterate"
strike,வேலைநிறுத்தம்,Vēlainiṟuttam,"collide_with, come_to, scratch, take, light_upon, happen_upon, coin, work_stoppage, rap, hit, expunge, discover, mint, chance_upon, come_upon, move, smash, take_up, run_into, fall_upon, come_across, tap, excise, bang, impinge_on, shine, assume, chance_on, strike, affect, smasher, fall, ten-strike, walk_out, impress, strickle, attain"
string,லேசான கயிறு,Lēcāṉa kayiṟu,"thread, draw, string_along, strand, bowed_stringed_instrument, chain, string_up, twine, string, drawing_string, drawstring, cosmic_string, train"
strip,ஆடை அவிழ்ப்பு,Āṭai aviḻppu,"deprive, discase, plunder, ransack, clean, bare, leach, landing_strip, strip, despoil, denude, divest, reave, strip_down, disinvest, slip, flight_strip, undress, peel, denudate, striptease, airstrip, foray, dismantle, cartoon_strip, funnies, loot, rifle, pillage, disrobe, comic_strip, strip_show, unclothe, uncase"
stroke,பக்கவாதம்,Pakkavātam,"shot, stroking, chance_event, stroke, accident, apoplexy, solidus, slash, cerebrovascular_accident, throw, diagonal, cam_stroke, separatrix, CVA, fortuity, virgule"
strong,வலுவான,Valuvāṉa,"potent, impregnable, inviolable, strong, unassailable, solid, firm, unattackable, substantial, hard, warm, secure, stiff"
strongly,வலுவாக,Valuvāka,"strongly, powerfully"
structure,அமைப்பு,Amaippu,"structure, bodily_structure, social_system, social_organization, construction, body_structure, social_organisation, social_structure, anatomical_structure, complex_body_part"
struggle,போராட,Pōrāṭa,"contend, struggle, sputter, fight, scramble, shinny, conflict, shin, battle, skin, clamber"
student,மாணவர்,Māṇavar,"student, scholarly_person, educatee, pupil, scholar, bookman"
studio,ஸ்டுடியோ,Sṭuṭiyō,"studio_apartment, studio"
study,ஆய்வு,Āyvu,"subject, report, cogitation, take, written_report, field, canvass, subject_area, hit_the_books, bailiwick, learn, meditate, contemplate, work, field_of_study, canvas, analyze, subject_field, consider, study, survey, analyse, discipline, read, sketch, examine"
stuff,பொருள்,Poruḷ,"clobber, choke_up, farce, squeeze, ingurgitate, stuff_and_nonsense, block, overeat, hooey, stuff, overindulge, thrust, pig_out, material, gourmandize, engorge, binge, poppycock, overgorge, gorge, gormandise, scarf_out, glut, gormandize, satiate, lug, englut, shove"
stupid,முட்டாள்,Muṭṭāḷ,"unintelligent, stupe, poor_fish, dazed, stupid_person, dolt, pudding_head, stupid, stupefied, dullard, pillock, pudden-head, stunned"
style,உடை,Uṭai,"fashion, title, style, expressive_style, dash, flair, mode, way, panache, trend, vogue, elan, stylus, manner"
subject,பொருள்,Poruḷ,"subject, submit, dependent, issue, field, depicted_object, theme, case, subject_area, bailiwick, matter, field_of_study, subjugate, content, capable, national, subject_field, study, topic, open, discipline, guinea_pig"
submit,சமர்ப்பிக்கவும்,Camarppikkavum,"relegate, bow, put_forward, subject, state, take, pass_on, submit, put_in, defer, present, render, accede, resign, give_in, posit, reconcile"
subsequent,அடுத்தடுத்து,Aṭuttaṭuttu,subsequent
substance,பொருள்,Poruḷ,"heart_and_soul, heart, substance, subject_matter, core, meaning, nitty-gritty, content, marrow, sum, message, pith, essence, means, meat, kernel, gist, inwardness, centre, nub, center"
substantial,கணிசமான,Kaṇicamāṉa,"strong, solid, substantive, square, hearty, significant, substantial, material, real, satisfying"
succeed,வெற்றி,Veṟṟi,"come_after, follow, deliver_the_goods, win, come_through, bring_home_the_bacon, succeed"
success,வெற்றி,Veṟṟi,"achiever, winner, succeeder, success"
successful,வெற்றிகரமான,Veṟṟikaramāṉa,successful
successfully,வெற்றிகரமாக,Veṟṟikaramāka,successfully
such,இது போன்ற,Itu pōṉṟa,such
sudden,திடீர்,Tiṭīr,sudden
suddenly,திடீரென்று,Tiṭīreṉṟu,"dead, suddenly, abruptly, on_the_spur_of_the_moment, all_of_a_sudden, of_a_sudden, short"
sue,சூ,Cū,"Sue, Eugene_Sue, process, sue, action, litigate"
suffer,பாதிப்பு,Pātippu,"stand, brook, have, hurt, endure, stomach, put_up, ache, sustain, meet, abide, suffer, lose, tolerate, digest, bear, get, support, stick_out"
sufficient,போதுமான,Pōtumāṉa,sufficient
sugar,சர்க்கரை,Carkkarai,"scratch, kale, refined_sugar, bread, saccharify, shekels, dinero, lucre, simoleons, dough, sugar, lolly, pelf, cabbage, gelt, wampum, saccharide, lettuce, clams, moolah, loot, carbohydrate, boodle"
suggest,பரிந்துரை,Parinturai,"intimate, advise, paint_a_picture, evoke, hint, suggest, indicate, propose"
suggestion,பரிந்துரை,Parinturai,"suggestion, trace, proffer, proposition, prompting, hint, hypnotism, mesmerism"
suicide,தற்கொலை,Taṟkolai,"self-destruction, suicide, felo-de-se, self-annihilation"
suit,வழக்கு,Vaḻakku,"befit, courting, become, cause, fit, beseem, accommodate, lawsuit, causa, case, wooing, courtship, suit, suit_of_clothes"
summer,கோடைக்கால,Kōṭaikkāla,"summer, summertime"
summit,உச்சி மாநாடு,Ucci mānāṭu,"elevation, tiptop, meridian, pinnacle, acme, tip, crest, summit, top, breast, crown, summit_meeting, peak, height, superlative"
sun,சன்,Caṉ,"insolate, ""Lords_Day"", Sun, sunshine, sun, Dominicus, Sunday, sunbathe, solarise, sunlight, solarize"
super,அருமை,Arumai,"extremely, super, tiptop, crack, top-notch, superintendent, ace, topnotch, passing, first-rate, A-one, tops, exceedingly"
supply,விநியோகி,Viniyōki,"furnish, ply, provide, add, append, issue, provision, supply, render, supplying, cater"
